sheet,source_log,process_original,process_normalized,run_number_in_same_log,step_number,step_original,step_normalized,step_seconds,total_seconds_at_step,severity,process_run_total_seconds,average_step_seconds_ignoring_dates,average_process_total_seconds_ignoring_dates
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,174,Ensure frozen rows: Template - Master List,Ensure frozen rows: Template - Master List,1.088,80.831,OK,119.558,0.359,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,175,Ensure frozen columns: Template - Master List,Ensure frozen columns: Template - Master List,1.056,81.887,OK,119.558,0.339,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,176,Ensure tab color: Template - Master List,Ensure tab color: Template - Master List,0.917,82.804,OK,119.558,0.340,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,177,Template hide deferred until batch completion: Template - Master List,Template hide deferred until batch completion: Template - Master List,0.000,82.804,OK,119.558,0.000,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,178,Complete full template build: Template - Master List,Complete full template build: Template - Master List,0.000,82.804,OK,119.558,0.000,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,179,Open/create sheet: Template - Monthly Change,Open/create sheet: Template - Monthly Change,19.167,101.971,SLOW,119.558,7.968,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,180,Template signature mismatch - full build required: Template - Monthly Change,Template signature mismatch - full build required: Template - Monthly Change,0.026,101.997,OK,119.558,0.033,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,181,Template refresh decision: FULL_BUILD - Template - Monthly Change (template sheet did not exist; no stored signature),Template refresh decision: FULL_BUILD - Template - Monthly Change (template sheet did not exist; no stored signature),0.000,101.997,OK,119.558,0.000,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,182,Template timing mode: FIRST_BUILD - Template - Monthly Change,Template timing mode: FIRST_BUILD - Template - Monthly Change,0.000,101.997,OK,119.558,0.000,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,183,Full template build required: Template - Monthly Change,Full template build required: Template - Monthly Change,0.000,101.997,OK,119.558,0.000,85.917
